aX,aY,aZ,gX,gY,gZ
-0.957,0.027,-0.241,0.61,1.648,1.587
-0.954,0.023,-0.239,3.052,1.953,2.869
-0.967,0.002,-0.222,0.549,2.502,1.709
-0.967,0.0,-0.22,1.282,0.366,0.793
-0.968,0.014,-0.212,1.221,0.671,0.977
-0.963,0.011,-0.217,1.343,0.366,1.282
-0.961,-0.002,-0.225,0.0,-0.793,-0.854
-0.962,-0.0,-0.223,-0.122,-0.671,-0.671
-0.958,0.012,-0.232,-0.061,-1.038,-1.099
-0.954,0.015,-0.239,0.305,-0.427,0.0
-0.958,0.016,-0.234,0.549,-0.061,0.305
-0.955,0.014,-0.239,-0.244,0.061,-0.549
-0.959,0.01,-0.241,-0.488,0.122,0.183
-0.961,0.012,-0.24,0.427,0.366,0.488
-0.958,0.016,-0.236,0.427,0.366,0.183
-0.959,-0.002,-0.245,0.793,0.061,0.61
-0.958,0.013,-0.241,-0.427,0.122,-0.305
-0.959,0.006,-0.243,1.16,-0.305,-0.732
-0.956,0.014,-0.245,-0.793,-0.366,-0.977
-0.956,0.013,-0.245,0.854,-0.122,-0.488
-0.956,0.019,-0.247,0.61,0.0,-0.732
-0.958,0.03,-0.241,0.549,0.183,0.61
-0.959,0.005,-0.245,-2.075,0.061,-1.038
-0.954,0.035,-0.243,-2.258,0.488,-0.488
-0.958,0.026,-0.244,1.587,0.061,0.061

-0.867,-0.481,0.133,35.522,18.25,11.597
-0.874,-0.493,0.246,38.147,22.339,17.761
-1.004,-0.797,0.396,20.142,75.684,75.439
-1.283,-0.344,-0.139,19.714,49.561,105.469
-1.368,-0.631,0.184,26.428,54.077,135.071
-1.099,-0.257,0.007,-42.419,31.677,102.539
-0.57,0.009,0.064,-58.35,7.446,29.602
-0.413,0.078,-0.092,39.551,-8.301,-22.705
-0.215,0.596,-0.601,67.017,-49.255,-74.951
-1.288,-2.677,0.611,126.831,-105.103,-50.72
-0.072,0.475,-0.407,-5.371,-75.378,-96.802
-1.522,-0.539,-0.548,33.142,-52.002,-108.582
-2.0,-1.191,-0.45,23.438,-155.457,-202.148
-1.303,-1.853,1.233,-3.174,-47.302,-83.008
0.008,-0.679,0.086,49.866,88.196,71.35
-1.767,-0.718,-0.58,183.35,128.784,170.288
-2.609,-0.508,-0.196,-83.74,132.08,261.902
-1.537,0.767,-0.549,-66.406,42.053,196.594
-0.238,1.034,-0.224,8.484,-40.161,-24.17
-0.119,-0.113,0.686,-3.479,-1.831,-108.887
-0.175,0.051,-0.76,-46.936,-114.685,27.344
0.482,2.321,-2.299,-378.418,149.536,-6.042
-2.93,-0.751,0.058,72.083,-88.135,-45.776
-2.667,-0.451,-0.495,-51.636,-154.602,-226.807
-1.487,-0.94,1.031,-12.024,-47.241,-111.511
-0.199,-0.666,0.643,66.101,55.298,-13.611
-0.778,-0.503,-0.488,106.689,128.052,120.056
-1.587,0.205,0.33,66.772,78.918,191.467
-1.558,0.712,-0.756,-45.471,88.318,176.758
-0.563,0.998,-0.174,48.706,-63.171,52.185
-0.309,0.237,0.054,-78.125,9.338,-56.458
0.094,0.33,1.808,138.611,-54.81,-11.658
-1.617,-0.489,-1.512,137.146,-75.134,-85.815
-0.661,-0.03,-0.434,-29.541,-70.251,-62.195
-1.115,-0.469,0.37,-8.362,-99.548,-99.976
-0.759,0.045,0.098,3.845,-20.874,-60.364
-1.923,-1.249,-0.082,38.574,91.064,27.405
-1.319,0.053,-0.182,19.897,17.944,87.097
-0.966,0.161,-0.075,-124.329,-68.176,-57.373
-1.306,0.136,-0.159,71.594,-84.167,-41.687
-0.934,-0.178,-0.111,-12.634,-30.212,-28.442
-0.94,0.069,-0.275,-2.38,-2.38,-2.319
-0.949,0.022,-0.277,-1.953,-1.465,0.061
-0.951,0.015,-0.282,-1.77,-1.099,-0.793
-0.952,-0.007,-0.269,-1.648,-0.549,-0.977
-0.946,0.013,-0.282,5.249,0.854,0.854
-0.951,-0.0,-0.268,0.549,0.854,0.549
-0.952,0.005,-0.271,-0.549,0.122,-0.488
-0.949,0.02,-0.274,-2.319,-0.122,-0.61
-0.952,0.006,-0.272,-1.587,-0.122,0.183
-0.952,0.006,-0.272,-0.061,0.0,0.549
-0.953,0.001,-0.268,-0.183,0.244,0.732
-0.954,-0.002,-0.275,-1.16,0.305,0.061
-0.952,-0.007,-0.276,-1.221,0.122,-0.488
-0.954,-0.005,-0.273,-0.183,0.549,0.366
-0.954,-0.01,-0.269,0.244,0.0,-0.305
-0.949,0.005,-0.278,0.244,-0.061,-0.122
-0.948,0.009,-0.272,1.709,0.0,-0.61
-0.95,0.004,-0.271,0.732,-0.183,-0.427
-0.951,0.001,-0.273,-0.122,0.549,0.61
-0.951,0.001,-0.271,2.502,1.099,1.526
-0.953,-0.002,-0.269,1.16,0.305,-0.061
-0.952,-0.002,-0.272,-0.793,0.671,-0.488
-0.953,0.005,-0.27,0.61,0.427,0.061
-0.952,-0.003,-0.263,0.183,0.427,0.977
-0.955,-0.007,-0.259,-0.122,0.427,0.61
-0.953,-0.005,-0.264,0.244,0.61,0.366
-0.953,-0.004,-0.262,0.488,0.244,0.366
-0.953,-0.012,-0.261,0.671,0.244,0.0
-0.956,-0.012,-0.255,-0.854,0.916,0.366
-0.956,-0.009,-0.252,-0.488,0.549,0.0
-0.952,-0.001,-0.264,0.488,0.916,-0.061
-0.957,-0.01,-0.252,0.671,0.488,0.854
-0.955,-0.011,-0.254,0.488,0.122,0.183
-0.957,-0.018,-0.254,0.488,0.183,0.061
-0.952,-0.013,-0.258,0.671,0.244,0.122
-0.953,-0.012,-0.258,-0.671,0.305,0.366
-0.957,-0.02,-0.252,1.587,0.793,0.854
-0.954,-0.016,-0.255,0.671,0.671,0.305
-0.957,-0.016,-0.25,0.061,0.61,0.061
-0.957,-0.017,-0.247,0.305,0.488,0.366
-0.959,-0.017,-0.249,0.366,0.61,0.183
-0.954,-0.016,-0.251,0.61,0.183,0.244
-0.956,-0.018,-0.248,0.366,-0.061,0.366
-0.957,-0.015,-0.248,-0.244,0.366,0.488
-0.958,-0.022,-0.246,0.427,0.122,0.244
-0.96,-0.025,-0.244,-0.305,0.305,0.122
-0.957,-0.02,-0.247,-0.061,0.61,0.244
-0.958,-0.024,-0.244,-0.366,0.732,0.244
-0.957,-0.023,-0.244,0.427,0.366,0.183
-0.96,-0.025,-0.244,-0.305,-0.122,-0.183
-0.956,-0.017,-0.249,0.732,0.061,-0.183
-0.957,-0.015,-0.249,0.061,0.244,-0.061
-0.957,-0.019,-0.246,0.305,0.244,0.0
-0.958,-0.016,-0.243,-0.061,0.061,-0.183
-0.957,-0.015,-0.244,0.183,-0.122,-0.122
-0.957,-0.02,-0.248,0.427,0.0,0.061
-0.955,-0.02,-0.249,0.366,0.061,-0.488
-0.957,-0.019,-0.25,-0.183,-0.183,-0.488
-0.958,-0.012,-0.255,-0.122,-0.061,-0.549
-0.954,-0.008,-0.258,0.671,-0.488,-0.671
-0.954,-0.007,-0.254,1.221,0.793,0.427
-0.955,-0.005,-0.256,0.244,0.549,-0.183
-0.952,-0.008,-0.248,1.404,1.16,0.732
-0.955,-0.0,-0.252,-0.61,0.183,0.122
-0.963,-0.011,-0.244,-0.122,0.0,0.122
-0.958,-0.014,-0.249,-0.061,0.305,0.0
-0.957,-0.007,-0.249,0.183,0.366,0.244
-0.955,-0.005,-0.252,0.427,0.549,0.061
