aX,aY,aZ,gX,gY,gZ
-0.972,-0.16,-0.104,3.967,-1.099,1.709
-0.973,-0.188,-0.1,2.625,-0.977,2.075
-0.966,-0.187,-0.086,-0.732,2.319,1.709
-0.979,-0.174,-0.094,0.793,-0.305,0.671
-0.969,-0.17,-0.089,0.488,0.305,0.732
-0.967,-0.17,-0.097,0.61,1.221,0.732
-0.973,-0.192,-0.1,-1.343,1.221,0.549
-0.966,-0.168,-0.096,-1.16,0.0,-0.427
-0.971,-0.18,-0.097,-0.244,1.099,-0.305
-0.969,-0.182,-0.103,0.488,-0.305,0.366
-0.967,-0.177,-0.102,-1.404,0.305,-0.061
-0.969,-0.184,-0.098,-0.61,0.122,-0.305
-0.971,-0.181,-0.1,-0.732,0.671,0.183
-0.97,-0.182,-0.108,0.244,0.183,0.305
-0.965,-0.166,-0.096,0.0,0.61,0.427
-0.972,-0.177,-0.106,-0.366,-0.427,0.305
-0.969,-0.173,-0.09,1.099,0.061,-0.366
-0.968,-0.178,-0.092,0.488,-0.366,-0.732
-0.968,-0.172,-0.113,1.404,-0.061,-0.793
-0.967,-0.171,-0.116,1.282,0.366,-1.038
-0.966,-0.181,-0.111,0.305,-0.122,-0.977
-0.972,-0.177,-0.097,-3.052,1.343,-0.854
-0.967,-0.168,-0.088,-2.38,1.282,-0.793
-0.966,-0.173,-0.098,-0.916,0.061,-0.427
-0.97,-0.183,-0.112,2.075,-0.61,-0.183
-0.974,-0.185,-0.096,-1.587,1.038,0.793
-0.967,-0.163,-0.095,1.587,0.122,0.366
-0.966,-0.182,-0.101,2.563,-1.16,0.427
-0.97,-0.195,-0.113,-0.977,-0.793,1.282
-0.97,-0.189,-0.102,-1.221,-0.427,1.038
-0.969,-0.18,-0.101,-2.258,-0.244,0.427
-0.969,-0.184,-0.093,-1.953,-0.122,0.427
-0.97,-0.179,-0.098,-3.174,0.732,0.427
-0.969,-0.182,-0.107,-1.221,0.183,0.488
-0.972,-0.176,-0.096,-1.587,0.305,0.366
-0.969,-0.177,-0.095,-1.16,0.305,0.488
-0.964,-0.168,-0.105,1.831,0.732,0.122
-0.971,-0.184,-0.091,-1.648,-0.061,1.587
-0.968,-0.183,-0.097,-0.244,0.366,-1.16
-0.966,-0.194,-0.104,0.793,0.305,-0.061
-0.968,-0.203,-0.106,1.038,-0.061,0.732
-0.97,-0.201,-0.099,0.549,-0.732,0.61
-0.97,-0.201,-0.105,-0.61,-0.244,0.366
-0.971,-0.193,-0.109,-0.854,0.488,0.488
-0.962,-0.188,-0.104,-1.648,0.549,0.549
-0.963,-0.189,-0.114,-2.136,0.854,1.526
-0.965,-0.192,-0.097,-0.183,1.831,-0.122
-0.969,-0.198,-0.087,-0.671,1.038,-0.305
-0.967,-0.195,-0.094,1.099,-0.488,-0.854
-0.966,-0.198,-0.098,3.113,0.0,-0.427

-0.818,0.68,-0.441,59.082,1.16,3.723
-0.965,0.76,-0.443,47.485,-2.197,1.648
-1.013,0.774,-0.371,30.334,-3.052,-2.686
-1.002,0.78,-0.298,17.09,0.916,-6.226
-1.002,0.817,-0.244,8.545,5.859,-7.019
-0.987,0.836,-0.198,-1.892,10.071,-8.972
-0.907,0.877,-0.064,-28.381,15.076,-14.587
-0.801,0.752,0.176,-30.64,13.672,-26.794
-0.771,0.621,0.112,-9.827,-2.808,-23.926
-0.783,0.476,-0.065,11.292,-20.996,-18.616
-0.797,0.438,-0.126,14.282,-15.747,-9.277
-0.794,0.447,-0.148,5.066,7.935,2.686
-0.827,0.45,-0.114,-5.554,7.812,1.526
-0.833,0.491,-0.061,-11.841,3.479,0.671
-0.862,0.472,-0.072,-16.663,-5.066,-1.404
-0.877,0.457,0.002,-20.813,-8.911,0.366
-0.874,0.434,-0.138,-12.756,-2.686,1.16
-0.873,0.416,-0.145,-12.207,-2.258,2.686
-0.878,0.427,-0.147,-12.573,-0.793,4.578
-0.875,0.359,-0.146,-11.78,-1.16,4.272
-0.888,0.425,-0.144,-8.057,-1.648,6.47
-0.874,0.522,-0.154,-3.113,-1.282,0.61
-0.879,0.45,-0.205,-4.761,0.366,0.671
-0.854,0.498,-0.192,5.249,1.343,-0.061
-0.847,0.477,-0.208,9.399,-0.61,-3.113
-0.845,0.438,-0.203,7.935,-0.916,-3.357
-0.835,0.442,-0.207,6.348,-0.244,-2.563
-0.832,0.427,-0.214,6.104,-0.183,-2.747
-0.845,0.436,-0.203,1.587,0.305,-2.014
-0.843,0.458,-0.203,1.526,1.282,-1.648
-0.845,0.473,-0.193,0.244,1.953,-2.319
-0.84,0.485,-0.185,2.075,2.625,-2.197
-0.814,0.479,-0.192,1.16,1.831,-2.686
-0.811,0.454,-0.195,1.282,1.038,-2.502
-0.839,0.4,-0.176,-1.099,-0.305,-1.221
-0.852,0.411,-0.169,-1.465,0.427,-0.549
-0.862,0.427,-0.173,-0.61,1.404,0.183
-0.853,0.422,-0.171,0.305,1.221,0.549
-0.841,0.45,-0.182,1.038,1.038,0.549
-0.848,0.408,-0.181,-2.502,1.343,0.183
-0.851,0.411,-0.175,-3.296,1.526,-0.305
-0.864,0.429,-0.174,-4.944,1.953,0.061
-0.852,0.452,-0.165,-5.188,2.258,0.305
-0.849,0.458,-0.165,1.404,1.038,-0.366
-0.843,0.399,-0.178,-1.099,0.916,1.099
-0.84,0.435,-0.172,0.305,-0.488,-0.61
-0.858,0.442,-0.162,-0.854,0.305,0.061
-0.857,0.457,-0.16,0.244,0.793,-0.061
-0.856,0.462,-0.155,1.16,1.099,0.122
-0.84,0.467,-0.161,4.333,0.366,0.916
-0.839,0.458,-0.158,5.066,-0.488,0.916
-0.839,0.448,-0.141,4.944,-0.977,0.977
-0.848,0.443,-0.142,4.211,-0.793,0.549
-0.857,0.439,-0.156,3.113,-0.183,0.427
-0.846,0.427,-0.171,-2.38,0.732,-0.854
-0.844,0.44,-0.174,-1.526,0.061,-0.916
-0.841,0.429,-0.181,-2.014,1.343,-1.038
-0.84,0.463,-0.161,0.183,0.427,-1.526
-0.851,0.456,-0.173,1.953,0.427,-1.526
-0.844,0.433,-0.192,1.221,0.305,-1.648
-0.844,0.429,-0.177,-1.343,-0.366,-1.343
-0.847,0.449,-0.172,-1.892,0.244,-1.282
-0.848,0.459,-0.167,-1.77,0.427,-1.282
-0.836,0.473,-0.156,0.549,0.488,-1.526
-0.833,0.469,-0.162,1.282,-0.122,-1.77
-0.844,0.453,-0.165,2.258,-0.854,-1.465
-0.841,0.457,-0.173,3.357,-0.793,-1.404
-0.832,0.464,-0.176,4.456,-1.16,-1.221
-0.831,0.442,-0.179,4.028,-0.549,-1.16
-0.837,0.432,-0.173,3.052,-0.732,-1.038
-0.836,0.433,-0.174,2.502,-0.427,-1.038
-0.836,0.418,-0.183,1.831,-1.099,-0.793
-0.835,0.429,-0.183,0.427,-0.977,0.0
-0.851,0.454,-0.176,-0.305,0.0,-0.061
-0.848,0.463,-0.17,-0.427,0.488,-0.427
-0.833,0.462,-0.167,0.122,1.404,-0.977
-0.849,0.455,-0.161,0.488,0.549,-1.282
-0.84,0.487,-0.165,0.916,1.526,-1.282
-0.831,0.47,-0.167,2.502,0.793,-1.343
-0.839,0.455,-0.167,1.77,0.305,0.0
-0.841,0.463,-0.178,3.113,-0.61,-0.793
-0.842,0.454,-0.179,2.625,-0.122,-0.916
-0.837,0.449,-0.179,2.319,-0.122,-0.854
-0.834,0.447,-0.173,1.587,0.244,-0.732
-0.835,0.455,-0.17,1.038,0.671,-0.61
-0.84,0.479,-0.169,1.221,1.343,-0.916
-0.837,0.481,-0.17,1.465,1.099,-1.099
-0.826,0.466,-0.168,1.526,1.343,-1.465
-0.83,0.447,-0.17,0.916,1.038,-1.465
-0.836,0.445,-0.164,0.916,1.099,-1.282
-0.838,0.454,-0.172,0.977,0.854,-0.61
-0.833,0.467,-0.163,1.038,0.977,0.244
-0.829,0.474,-0.164,1.282,1.221,0.122
-0.824,0.47,-0.161,1.465,0.244,0.183
-0.836,0.471,-0.165,1.587,-0.671,-0.183
-0.838,0.47,-0.163,2.014,-0.305,-0.488
-0.833,0.465,-0.17,2.075,0.793,-0.427
-0.825,0.451,-0.168,1.892,0.549,-0.916
-0.828,0.454,-0.165,1.343,0.427,-0.854
-0.829,0.442,-0.175,0.977,0.549,-0.427
-0.836,0.439,-0.177,-1.343,0.366,0.305
-0.835,0.443,-0.176,-1.77,0.671,0.366
