aX,aY,aZ,gX,gY,gZ
-0.675,-0.258,-0.248,-58.716,-55.054,-92.834
-0.733,-0.252,-0.181,-56.702,-0.427,-81.909
-0.951,-0.113,-0.17,-48.645,-2.686,-71.594
-1.108,0.042,-0.019,-52.307,-6.836,-55.176
-1.021,-0.095,0.161,-28.32,-0.977,-42.419
-0.941,0.189,-0.197,20.63,-5.432,-34.119
-0.93,0.053,-0.277,28.32,-11.23,-31.921
-0.978,-0.18,-0.286,26.062,-7.202,-24.048
-0.965,-0.106,-0.253,10.559,-3.174,-6.165
-0.975,-0.051,-0.241,2.686,-11.169,-9.216
-0.949,0.06,-0.197,-15.198,1.953,-12.085
-0.949,0.109,-0.155,-19.226,8.179,-11.414
-0.96,0.175,-0.131,-10.193,-2.075,-10.376
-0.99,0.11,-0.155,1.648,-3.113,-8.85
-0.991,0.078,-0.189,9.827,-1.282,-7.324
-0.998,0.011,-0.227,23.743,-1.282,0.977
-0.982,0.016,-0.231,20.081,-5.676,1.77
-0.982,0.081,-0.229,12.817,-2.319,6.653
-0.946,0.118,-0.18,11.23,0.122,10.376
-0.926,0.219,-0.147,14.343,0.0,10.376
-0.922,0.235,-0.161,14.343,-0.61,9.033
-0.931,0.238,-0.217,18.188,-4.211,2.808
-0.932,0.183,-0.195,13.367,-1.709,0.427
-0.938,0.193,-0.189,11.169,-0.061,-0.366
-0.948,0.132,-0.172,1.587,-3.784,-7.202
-0.949,0.114,-0.175,-0.793,-2.747,-7.812
-0.949,0.107,-0.177,-1.343,-1.77,-7.324
-0.965,0.12,-0.191,-3.296,-1.831,-7.324
-0.967,0.126,-0.189,-3.967,-2.197,-7.08
-0.972,0.142,-0.195,-4.272,-2.319,-4.272
-0.96,0.14,-0.192,3.296,-1.038,4.15
-0.955,0.136,-0.199,11.353,-2.258,10.437
-0.945,0.148,-0.215,11.536,-3.662,10.986
-0.93,0.151,-0.217,5.676,-1.831,8.545
-0.935,0.172,-0.208,1.16,-2.014,5.188
-0.937,0.191,-0.204,0.427,-3.357,0.244
-0.937,0.192,-0.217,1.526,-3.357,-1.404
-0.944,0.177,-0.21,-1.526,-1.343,-2.38
-0.952,0.145,-0.196,-2.625,-1.221,-2.136
-0.955,0.134,-0.187,-2.502,-1.343,-1.282
-0.956,0.117,-0.2,-2.625,-1.892,-1.343
-0.959,0.113,-0.206,-3.052,-2.808,-0.977
-0.961,0.117,-0.208,-3.113,-3.113,-0.854
-0.952,0.145,-0.218,-3.723,-2.136,2.93
-0.944,0.167,-0.203,-1.587,-2.136,6.042
-0.945,0.173,-0.198,0.732,-2.747,7.019
-0.93,0.178,-0.199,3.296,-2.991,7.446
-0.924,0.211,-0.207,2.502,-3.662,3.174
-0.925,0.214,-0.212,2.136,-3.723,-0.366
-0.928,0.222,-0.219,-0.549,-5.188,-4.15
-0.935,0.221,-0.237,-2.625,-5.249,-6.165
